,Địa chỉ,Mức giá,Giá/m²,Số phòng ngủ,Huyện,Diện tích (m2),Số toilet,Nội thất,Latitude,Longitude,Đường
99,"Feliz En Vista, Phan Văn Đáng, Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",6700.0,78.82,2,Quận 2,85.0,2,Đầy đủ,10.7773490972375,106.756211548547,Phan Văn Đáng
100,"Dự án Happy Valley, Quận 7, Hồ Chí Minh",8490.0,62.89,3,Quận 7,135.0,2,Đầy đủ,10.730139,106.713264,Nguyễn Lương Bằng
101,"Dự án Feliz En Vista, Đường Phan Văn Đáng, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",10600.0,80.3,4,Quận 2,132.0,3,Đầy đủ,10.7768859863281,106.756202697754,Phan Văn Đáng
102,"Dự án Vista Verde, Đường Phan Văn Đáng, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",10000.0,71.43,3,Quận 2,140.0,2,Đầy đủ,10.776494979858398,106.7557601928711,Phan Văn Đáng
103,"Vinhomes Central Park, Điện Biên Phủ, 22, Bình Thạnh, Hồ Chí Minh",9000.0,71.43,3,Bình Thạnh,126.0,2,Đầy đủ,10.7988966144478,106.718535986051,Phan Văn Đáng
104,"Dự án Eaton Park, Đường Mai Chí Thọ, Phường An Phú, Quận 2, Hồ Chí Minh",7000.0,127.27,1,Quận 2,55.0,1,Đầy đủ,10.79470157623291,106.75345611572266,Mai Chí Thọ
105,"Dự án Empire City Thủ Thiêm, Đường Mai Chí Thọ, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",19000.0,149.61,3,Quận 2,127.0,3,Đầy đủ,10.7698259353638,106.716209411621,Mai Chí Thọ
106,"Dự án The River Thủ Thiêm, Đường Nguyễn Cơ Thạch, Phường An Khánh, Quận 2, Hồ Chí Minh",40000.0,198.02,4,Quận 2,202.0,3,Đầy đủ.,10.7824411392212,106.719352722168,Nguyễn Cơ Thạch
107,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh.",6500.0,72.22,2,Bình Thạnh,90.0,2,Đầy đủ.,10.7903623580933,106.718391418457,Nguyễn Hữu Cảnh
108,"Dự án HaDo Centrosa Garden, Đường 3/2, Phường 12, Quận 10, Hồ Chí Minh",7400.0,85.06,2,Quận 10,87.0,2,Đầy đủ,10.7773962020874,106.676734924316,3/2
